date,a,b,diff_pct
1947-01-01,18.057216,22.331667,-19.140760
1948-01-01,19.442604,24.045000,-19.140761
1949-01-01,19.251911,23.809167,-19.140761
1950-01-01,19.456755,24.062500,-19.140758
1951-01-01,21.001840,25.973333,-19.140760
1952-01-01,21.481605,26.566667,-19.140759
1953-01-01,21.644671,26.768333,-19.140760
1954-01-01,21.722835,26.865000,-19.140759
1955-01-01,21.666907,26.795833,-19.140761
1956-01-01,21.986301,27.190833,-19.140761
1957-01-01,22.732228,28.113333,-19.140759
1958-01-01,23.352822,28.880833,-19.140761
1959-01-01,23.570469,29.150000,-19.140758
1960-01-01,23.922206,29.585000,-19.140761
1961-01-01,24.178261,29.901667,-19.140758
1962-01-01,24.462616,30.253333,-19.140758
1963-01-01,24.769881,30.633333,-19.140758
1964-01-01,25.097361,31.038333,-19.140758
1965-01-01,25.493571,31.528333,-19.140759
1966-01-01,26.255669,32.470833,-19.140760
1967-01-01,26.986771,33.375000,-19.140761
1968-01-01,28.132277,34.791667,-19.140761
1969-01-01,29.661865,36.683333,-19.140759
1970-01-01,31.407077,38.841667,-19.140759
1971-01-01,32.734516,40.483333,-19.140759
1972-01-01,33.805901,41.808333,-19.140759
1973-01-01,35.921718,44.425000,-19.140759
1974-01-01,39.877082,49.316667,-19.140760
1975-01-01,43.522486,53.825000,-19.140760
1976-01-01,46.035861,56.933333,-19.140759
1977-01-01,49.014176,60.616667,-19.140760
1978-01-01,52.753916,65.241667,-19.140760
1979-01-01,57.756443,72.583333,-20.427403
1980-01-01,64.224356,82.383333,-22.042052
1981-01-01,70.288024,90.933333,-22.703786
1982-01-01,74.532592,96.533333,-22.790823
1983-01-01,77.716018,99.583333,-21.958810
1984-01-01,80.949975,103.933333,-22.113558
1985-01-01,83.729156,107.600000,-22.184799
1986-01-01,85.194543,109.691667,-22.332712
1987-01-01,88.125316,113.616667,-22.436278
1988-01-01,91.308742,118.275000,-22.799626
1989-01-01,95.300657,123.941667,-23.108459
1990-01-01,100.000000,130.658333,-23.464507
1991-01-01,103.638201,136.166667,-23.888714
1992-01-01,106.215260,140.308333,-24.298680
1993-01-01,108.893380,144.475000,-24.628219
1994-01-01,111.167256,148.225000,-25.001008
1995-01-01,113.845376,152.383333,-25.290139
1996-01-01,116.877211,156.858333,-25.488682
1997-01-01,119.403739,160.525000,-25.616733
1998-01-01,121.020718,163.008333,-25.757956
1999-01-01,123.597777,166.583333,-25.804236
2000-01-01,127.791814,172.191667,-25.785134
2001-01-01,131.430015,177.041667,-25.763230
2002-01-01,133.501769,179.866667,-25.777371
2003-01-01,136.533603,184.000000,-25.796955
2004-01-01,140.222335,188.908333,-25.772287
2005-01-01,144.972208,195.266667,-25.756807
2006-01-01,149.671551,201.558333,-25.742812
2007-01-01,153.916119,207.344167,-25.767808
2008-01-01,159.828196,215.254250,-25.749110
2009-01-01,159.272360,214.564667,-25.769530
2010-01-01,161.899949,218.076167,-25.759907
2011-01-01,167.003537,224.923000,-25.750796
2012-01-01,170.540677,229.586083,-25.718199
2013-01-01,173.067206,232.951750,-25.706844
2014-01-01,175.997979,236.715000,-25.649841
2015-01-01,176.301162,237.001750,-25.611873
2016-01-01,178.575038,240.005417,-25.595413
2017-01-01,182.415361,245.121000,-25.581504
2018-01-01,186.862052,251.099500,-25.582468
2019-01-01,190.247600,255.652583,-25.583541
2020-01-01,192.622537,258.855750,-25.586920
